Informazioni cronologiche,Età,Genere,Occupazione,Settore,Titolo di studio,Sei a conoscenza del progetto Euro Digitale?,Conosci le criptovalute?,Quanto ti identifichi in quanto appena letto?,Quanto sei favorevole con quanto appena letto?,"Se potessi sapere chiaramente come lo Stato utilizza ogni singolo euro delle TUE tasse, come sarebbe la tua opinione rispetto alla risposta precedente?","Se potessi sapere chiaramente come lo Stato utilizza ogni singolo euro delle TUE tasse, saresti più d'accordo nel pagare le tasse?",Che tipo di funzionalità ti aspetti da un sistema come questo?,Cosa ti spaventerebbe/quali sono le tue preoccupazioni riguardo l’utilizzo di questo sistema?
03/11/2023 14.35.45,10 - 25 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,No,Si e ne posseggo alcune,Molto,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò), Selezionare delle preferenze su come vengono investite le mie tasse","Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 14.36.52,26 - 41 anni,Uomo,Libero professionista,Edilizia ed impiantistica,Laurea,No,Si e ne posseggo alcune,Molto,Sfavorevole,Sarei più favorevole,Si,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 14.38.26,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,No,Si e ne posseggo alcune,Abbastanza,Indifferente,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 14.38.31,26 - 41 anni,Donna,Libero professionista,Edilizia ed impiantistica,Laurea,No,Si,Abbastanza,Sfavorevole,La mia opinione non cambia,Un po' di più,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 14.39.36,58 - 76 anni,Donna,"Impiegato, operaio, addetto",Insegnante,Diploma di scuola superiore,No,No,Molto,Sfavorevole,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 14.40.27,26 - 41 anni,Uomo,Imprenditore,Informatica,Master,Si,Si,Poco,Abbastanza favorevole,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Nessuna
03/11/2023 14.41.08,26 - 41 anni,Uomo,Amministratore,Educazione e formazione,Laurea,No,No,Poco,Indifferente,Sarei più favorevole,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato",Ho paura di poter essere truffato in qualche modo
03/11/2023 14.46.26,26 - 41 anni,Donna,"Impiegato, operaio, addetto","Credito, finanza, assicurazioni",Laurea,No,Si,Molto,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 14.49.05,42 - 57 anni,Donna,Docente,Educazione e formazione,Laurea,No,No,Molto,Sfavorevole,La mia opinione non cambia,Un po' di più,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 14.49.34,58 - 76 anni,Donna,Pensionato,Educazione e formazione,Diploma di scuola superiore,No,No,Abbastanza,Indifferente,La mia opinione non cambia,Un po' di più,Tracciabilità delle donazioni alle associazioni di volontariato,Ho paura di poter essere truffato in qualche modo
03/11/2023 14.51.44,42 - 57 anni,Uomo,"Impiegato, operaio, addetto",Educazione e formazione,Laurea,No,Si,Abbastanza,Abbastanza favorevole,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 14.52.42,10 - 25 anni,Donna,Studente,Informatica,Laurea,Si,Si,Molto,Molto favorevole,La mia opinione non cambia,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 14.52.49,26 - 41 anni,Donna,Libero professionista,Informatica,Dottorato,Si,Si,Molto,Sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 14.55.59,10 - 25 anni,Donna,Studente,economia,Diploma di scuola superiore,Si,Si,Abbastanza,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura di poter essere truffato in qualche modo"
03/11/2023 14.56.12,58 - 76 anni,Donna,Docente,Educazione e formazione,Diploma di scuola superiore,No,No,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 14.56.36,58 - 76 anni,Uomo,"Impiegato, operaio, addetto",Educazione e formazione,Licenza media,No,Si,Abbastanza,Indifferente,La mia opinione non cambia,Un po' di più,Tracciabilità delle donazioni alle associazioni di volontariato,Ho paura che la mia privacy venga violata
03/11/2023 14.56.43,42 - 57 anni,Donna,Docente,Educazione e formazione,Diploma di scuola superiore,No,No,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato","Ho paura che la mia privacy venga violata, Ho paura di poter essere truffato in qualche modo"
03/11/2023 14.57.15,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Produzioni metalmeccaniche,Laurea,No,Si,Abbastanza,Sfavorevole,La mia opinione non cambia,Un po' di più,Tracciabilità delle donazioni alle associazioni di volontariato,"Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 14.57.17,42 - 57 anni,Donna,Disoccupato,Distribuzione commerciale,Licenza media,No,No,Molto,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 14.58.14,26 - 41 anni,Donna,Libero professionista,Artigianato artistico,Diploma di scuola superiore,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 15.00.17,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Legale,Master,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura di subire furti di denaro, Ho paura di poter essere truffato in qualche modo"
03/11/2023 15.02.56,58 - 76 anni,Donna,Docente,Educazione e formazione,Diploma di scuola superiore,No,Si,Per niente,Molto favorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 15.06.25,10 - 25 anni,Uomo,Studente,Informatica,Laurea,Si,Si,Abbastanza,Abbastanza favorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Manipolazione dei dati da parte della stessa BCE, servirebbe qualche ente di garanzia, ma anche in questo caso chi controllerebbe il controllore?"
03/11/2023 15.07.10,42 - 57 anni,Donna,"Impiegato, operaio, addetto",Educazione e formazione,Laurea,No,Si,Poco,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 15.09.21,42 - 57 anni,Donna,Libero professionista,Coach d’azienda Mental Coach,Laurea,Si,Si,Molto,Sfavorevole,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 15.11.33,10 - 25 anni,Donna,"Impiegato, operaio, addetto",Informatica,Laurea,Si,Si,Abbastanza,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 15.11.58,42 - 57 anni,Donna,"Impiegato, operaio, addetto",Servizi socio-sanitari,Master,No,No,Molto,Sfavorevole,Sarei più favorevole,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 15.15.47,42 - 57 anni,Donna,"Impiegato, operaio, addetto",Educazione e formazione,Laurea,No,Si,Molto,Molto favorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di poter essere truffato in qualche modo"
03/11/2023 15.15.58,42 - 57 anni,Donna,Disoccupato,Casalinga,Diploma di scuola superiore,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 15.18.23,10 - 25 anni,Donna,Studente,Lingue straniere,Diploma di scuola superiore,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di poter essere truffato in qualche modo"
03/11/2023 15.19.10,10 - 25 anni,Uomo,Studente,Politica internazionale,Laurea,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 15.19.59,26 - 41 anni,Uomo,Libero professionista,Edilizia ed impiantistica,Laurea,No,Si,Molto,Sfavorevole,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 15.20.04,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Informatica,Laurea,No,Si,Molto,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 15.20.07,26 - 41 anni,Donna,Libero professionista,Fotografia,Master,No,Si,Molto,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 15.23.02,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Edilizia ed impiantistica,Diploma di scuola superiore,No,Si,Molto,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 15.23.35,26 - 41 anni,Donna,Studente,"Cartotecnica, stampa, editoria",Laurea,No,Si,Molto,Abbastanza favorevole,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 15.24.39,26 - 41 anni,Donna,Disoccupato,Fotografia,Diploma di scuola superiore,No,Si,Molto,Molto sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 15.24.58,26 - 41 anni,Uomo,"Impiegato, operaio, addetto","Credito, finanza, assicurazioni",Laurea,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 15.26.46,58 - 76 anni,Donna,Pensionato,Educazione e formazione,Diploma di scuola superiore,No,No,Poco,Sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 15.29.53,10 - 25 anni,Donna,Studente,Studentessa di management digitale,Diploma di scuola superiore,Si,Si,Abbastanza,Sfavorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 15.31.27,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,No,No,Abbastanza,Abbastanza favorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 15.38.42,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Militare,Diploma di scuola superiore,Si,Si e ne posseggo alcune,Molto,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 15.44.16,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Educazione e formazione,Master,No,No,Molto,Abbastanza favorevole,Sarei più favorevole,Si,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 15.55.25,10 - 25 anni,Uomo,Studente,Informatica,Diploma di scuola superiore,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 15.57.40,26 - 41 anni,Uomo,Libero professionista,Servizi di consulenza professionale,Laurea,No,Si,Molto,Molto sfavorevole,La mia opinione non cambia,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 15.58.21,26 - 41 anni,Donna,Disoccupato,Artigianato artistico,Diploma di scuola superiore,No,No,Molto,Indifferente,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 16.05.54,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Servizi di vendita e riparazione,Diploma di scuola superiore,Si,Si,Molto,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 16.06.21,42 - 57 anni,Donna,Docente,Educazione e formazione,Diploma di scuola superiore,No,No,Molto,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 16.09.25,58 - 76 anni,Donna,Disoccupato,Educazione e formazione,Diploma di scuola superiore,No,Si,Abbastanza,Sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 16.11.43,10 - 25 anni,Donna,Studente,"Credito, finanza, assicurazioni",Diploma di scuola superiore,No,Si,Abbastanza,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 16.11.53,42 - 57 anni,Donna,Docente,Educazione e formazione,Diploma di scuola superiore,No,Si,Abbastanza,Abbastanza favorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 16.16.39,26 - 41 anni,Uomo,Quadro,Associazioni di categoria,Master,Si,Si,Molto,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 16.28.25,42 - 57 anni,Uomo,Dirigente,Servizi di vendita e riparazione,Laurea,Si,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 16.31.00,42 - 57 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,Si,Si,Abbastanza,Indifferente,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 16.35.54,42 - 57 anni,Donna,Lavoratore in proprio,Turismo alberghiero e ristorazione,Licenza media,No,Si,Abbastanza,Indifferente,Sarei più favorevole,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura di poter essere truffato in qualche modo"
03/11/2023 16.36.39,42 - 57 anni,Donna,Disoccupato,Casalinga,Diploma di scuola superiore,No,No,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 16.38.52,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Produzioni metalmeccaniche,Laurea,No,Si,Molto,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 16.42.00,10 - 25 anni,Uomo,Studente,Informatica,Diploma di scuola superiore,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 16.43.10,42 - 57 anni,Donna,Libero professionista,"Comunicazione, pubblicità e pubbliche relazioni",Master,No,Si,Molto,Molto sfavorevole,Sarei più favorevole,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di subire furti di denaro
